[Running] cd "d:\Git\NS\" && g++ NS.cpp -o NS && "d:\Git\NS\"NS
j=1,i=0,output=0,N_S=0,N_v=0,S_v=0,%=0,

j=1,i=1,output=3,N_S=1,N_v=1,S_v=0,%=1,

j=1,i=2,output=3,N_S=2,N_v=2,S_v=0,%=1,

j=1,i=3,output=3,N_S=3,N_v=3,S_v=0,%=1,

j=1,i=4,output=3,N_S=4,N_v=4,S_v=0,%=1,

j=1,i=5,output=3,N_S=5,N_v=5,S_v=0,%=1,

j=1,i=6,output=3,N_S=6,N_v=6,S_v=0,%=1,

j=1,i=7,output=3,N_S=7,N_v=7,S_v=0,%=1,

j=1,i=8,output=3,N_S=8,N_v=8,S_v=0,%=1,

j=1,i=9,output=3,N_S=9,N_v=9,S_v=0,%=1,

j=1,i=10,output=3,N_S=10,N_v=10,S_v=0,%=1,

j=1,i=11,output=3,N_S=11,N_v=11,S_v=0,%=1,

j=1,i=12,output=3,N_S=12,N_v=12,S_v=0,%=1,

j=1,i=13,output=3,N_S=13,N_v=13,S_v=0,%=1,

j=1,i=14,output=3,N_S=14,N_v=14,S_v=0,%=1,

j=1,i=15,output=3,N_S=15,N_v=15,S_v=0,%=1,

j=1,i=16,output=3,N_S=16,N_v=16,S_v=0,%=1,

j=1,i=17,output=3,N_S=17,N_v=17,S_v=0,%=1,

j=1,i=18,output=3,N_S=18,N_v=18,S_v=0,%=1,

j=1,i=19,output=3,N_S=19,N_v=19,S_v=0,%=1,

j=1,i=20,output=3,N_S=20,N_v=20,S_v=0,%=1,

j=1,i=21,output=3,N_S=21,N_v=21,S_v=0,%=1,

j=1,i=22,output=3,N_S=22,N_v=22,S_v=0,%=1,

j=1,i=23,output=3,N_S=23,N_v=23,S_v=0,%=1,

j=1,i=24,output=3,N_S=24,N_v=24,S_v=0,%=1,

j=1,i=25,output=3,N_S=25,N_v=25,S_v=0,%=1,

j=1,i=26,output=3,N_S=26,N_v=26,S_v=0,%=1,

j=1,i=27,output=3,N_S=27,N_v=27,S_v=0,%=1,

j=1,i=28,output=3,N_S=28,N_v=28,S_v=0,%=1,

j=1,i=29,output=3,N_S=29,N_v=29,S_v=0,%=1,

j=1,i=30,output=3,N_S=30,N_v=30,S_v=0,%=1,

j=1,i=31,output=3,N_S=31,N_v=31,S_v=0,%=1,

j=1,i=32,output=3,N_S=32,N_v=32,S_v=0,%=1,

j=1,i=33,output=3,N_S=33,N_v=33,S_v=0,%=1,

j=1,i=34,output=3,N_S=34,N_v=34,S_v=0,%=1,

j=1,i=35,output=3,N_S=35,N_v=35,S_v=0,%=1,

j=1,i=36,output=3,N_S=36,N_v=36,S_v=0,%=1,

j=1,i=37,output=3,N_S=37,N_v=37,S_v=0,%=1,

j=1,i=38,output=3,N_S=38,N_v=38,S_v=0,%=1,

j=1,i=39,output=3,N_S=39,N_v=39,S_v=0,%=1,

j=1,i=40,output=3,N_S=40,N_v=40,S_v=0,%=1,

j=1,i=41,output=3,N_S=41,N_v=41,S_v=0,%=1,

j=1,i=42,output=3,N_S=42,N_v=42,S_v=0,%=1,

j=1,i=43,output=3,N_S=43,N_v=43,S_v=0,%=1,

j=1,i=44,output=3,N_S=44,N_v=44,S_v=0,%=1,

j=1,i=45,output=3,N_S=45,N_v=45,S_v=0,%=1,

j=1,i=46,output=3,N_S=46,N_v=46,S_v=0,%=1,

j=1,i=47,output=3,N_S=47,N_v=47,S_v=0,%=1,

j=1,i=48,output=3,N_S=48,N_v=48,S_v=0,%=1,

j=1,i=49,output=3,N_S=49,N_v=49,S_v=0,%=1,

j=1,i=50,output=3,N_S=50,N_v=50,S_v=0,%=1,

j=1,i=51,output=3,N_S=51,N_v=51,S_v=0,%=1,

j=1,i=52,output=3,N_S=52,N_v=52,S_v=0,%=1,

j=1,i=53,output=3,N_S=53,N_v=53,S_v=0,%=1,

j=1,i=54,output=3,N_S=54,N_v=54,S_v=0,%=1,

j=1,i=55,output=3,N_S=55,N_v=55,S_v=0,%=1,

j=1,i=56,output=3,N_S=56,N_v=56,S_v=0,%=1,

j=1,i=57,output=3,N_S=57,N_v=57,S_v=0,%=1,

j=1,i=58,output=3,N_S=58,N_v=58,S_v=0,%=1,

j=1,i=59,output=3,N_S=59,N_v=59,S_v=0,%=1,

j=1,i=60,output=3,N_S=60,N_v=60,S_v=0,%=1,

j=1,i=61,output=3,N_S=61,N_v=61,S_v=0,%=1,

j=1,i=62,output=3,N_S=62,N_v=62,S_v=0,%=1,

j=1,i=63,output=3,N_S=63,N_v=63,S_v=0,%=1,

j=1,i=64,output=3,N_S=64,N_v=64,S_v=0,%=1,

j=1,i=65,output=3,N_S=65,N_v=65,S_v=0,%=1,

j=1,i=66,output=3,N_S=66,N_v=66,S_v=0,%=1,

j=1,i=67,output=3,N_S=67,N_v=67,S_v=0,%=1,

j=1,i=68,output=3,N_S=68,N_v=68,S_v=0,%=1,

j=1,i=69,output=3,N_S=69,N_v=69,S_v=0,%=1,

j=1,i=70,output=3,N_S=70,N_v=70,S_v=0,%=1,

j=1,i=71,output=3,N_S=71,N_v=71,S_v=0,%=1,

j=1,i=72,output=3,N_S=72,N_v=72,S_v=0,%=1,

j=1,i=73,output=3,N_S=73,N_v=73,S_v=0,%=1,

j=1,i=74,output=3,N_S=74,N_v=74,S_v=0,%=1,

j=1,i=75,output=3,N_S=75,N_v=75,S_v=0,%=1,

j=1,i=76,output=3,N_S=76,N_v=76,S_v=0,%=1,

j=1,i=77,output=3,N_S=77,N_v=77,S_v=0,%=1,

j=1,i=78,output=3,N_S=78,N_v=78,S_v=0,%=1,

